x,y,tau,temperature,is_post_switch
0.5625,0.1875,2.5,0.06981680207468269,0
0.625,0.1875,2.5,0.06915707633720865,0
0.6875,0.1875,2.5,0.06773310328864959,0
0.75,0.1875,2.5,0.06499182232321768,0
0.8125,0.1875,2.5,0.06001244643949648,0
0.875,0.1875,2.5,0.05132726902159872,0
0.9375,0.1875,2.5,0.03664871906992744,0
1,0.1875,2.5,0.01250513650910958,0
0,0.25,2.5,0.01539093724198103,0
0.0625,0.25,2.5,0.0405017982233272,0
0.125,0.25,2.5,0.05591403373069645,0
0.1875,0.25,2.5,0.06499182232321751,0
0.25,0.25,2.5,0.07007820193417887,0
0.3125,0.25,2.5,0.07275296210962091,0
0.375,0.25,2.5,0.07404630741176704,0
0.4375,0.25,2.5,0.07459430398691728,0
0.5,0.25,2.5,0.07474079126672151,0
0.5625,0.25,2.5,0.0745943039869173,0
0.625,0.25,2.5,0.07404630741176715,0
0.6875,0.25,2.5,0.07275296210962094,0
0.75,0.25,2.5,0.07007820193417902,0
0.8125,0.25,2.5,0.06499182232321765,0
0.875,0.25,2.5,0.05591403373069651,0
0.9375,0.25,2.5,0.04050179822332722,0
1,0.25,2.5,0.01539093724198103,0
0,0.3125,2.5,0.01763544892310326,0
0.0625,0.3125,2.5,0.04299924538841586,0
0.125,0.3125,2.5,0.05859996705300879,0
0.1875,0.3125,2.5,0.06773310328864948,0
0.25,0.3125,2.5,0.07275296210962083,0
0.3125,0.3125,2.5,0.07529072927294553,0
0.375,0.3125,2.5,0.07643598822653627,0
0.4375,0.3125,2.5,0.0768741650418478,0
0.5,0.3125,2.5,0.07698049144122121,0
0.5625,0.3125,2.5,0.07687416504184783,0
0.625,0.3125,2.5,0.07643598822653644,0
0.6875,0.3125,2.5,0.07529072927294574,0
0.75,0.3125,2.5,0.07275296210962109,0
0.8125,0.3125,2.5,0.06773310328864972,0
0.875,0.3125,2.5,0.0585999670530089,0
0.9375,0.3125,2.5,0.04299924538841589,0
1,0.3125,2.5,0.01763544892310326,0
0,0.375,2.5,0.01923867155247628,0
0.0625,0.375,2.5,0.04456015959457736,0
0.125,0.375,2.5,0.06011337531033691,0
0.1875,0.375,2.5,0.06915707633720856,0
0.25,0.375,2.5,0.07404630741176686,0
0.3125,0.375,2.5,0.07643598822653611,0
0.375,0.375,2.5,0.07744686583793096,0
0.4375,0.375,2.5,0.07779211382211065,0
0.5,0.375,2.5,0.07786534251477595,0
0.5625,0.375,2.5,0.07779211382211079,0
0.625,0.375,2.5,0.07744686583793128,0
0.6875,0.375,2.5,0.07643598822653645,0
0.75,0.375,2.5,0.0740463074117672,0
0.8125,0.375,2.5,0.06915707633720886,0
0.875,0.375,2.5,0.06011337531033706,0
0.9375,0.375,2.5,0.04456015959457743,0
1,0.375,2.5,0.01923867155247628,0
0,0.4375,2.5,0.02020060513010009,0
0.0625,0.4375,2.5,0.04541803361076742,0
0.125,0.4375,2.5,0.06087617616731127,0
0.1875,0.4375,2.5,0.06981680207468256,0
0.25,0.4375,2.5,0.07459430398691716,0
0.3125,0.4375,2.5,0.07687416504184769,0
0.375,0.4375,2.5,0.07779211382211063,0
0.4375,0.4375,2.5,0.07807525473695548,0
0.5,0.4375,2.5,0.07812667324986043,0
0.5625,0.4375,2.5,0.07807525473695556,0
0.625,0.4375,2.5,0.07779211382211088,0
0.6875,0.4375,2.5,0.07687416504184787,0
0.75,0.4375,2.5,0.07459430398691733,0
0.8125,0.4375,2.5,0.06981680207468274,0
0.875,0.4375,2.5,0.06087617616731139,0
0.9375,0.4375,2.5,0.04541803361076747,0
1,0.4375,2.5,0.02020060513010009,0
0,0.5,2.5,0.0205212496559747,0
0.0625,0.5,2.5,0.04569181308013582,0
0.125,0.5,2.5,0.06110777649725135,0
0.1875,0.5,2.5,0.07000606071942775,0
0.25,0.5,2.5,0.07474079126672148,0
0.3125,0.5,2.5,0.07698049144122121,0
0.375,0.5,2.5,0.07786534251477599,0
0.4375,0.5,2.5,0.07812667324986053,0
0.5,0.5,2.5,0.07817047929887785,0
0.5625,0.5,2.5,0.07812667324986049,0
0.625,0.5,2.5,0.07786534251477609,0
0.6875,0.5,2.5,0.07698049144122134,0
0.75,0.5,2.5,0.07474079126672156,0
0.8125,0.5,2.5,0.07000606071942787,0
0.875,0.5,2.5,0.06110777649725145,0
0.9375,0.5,2.5,0.04569181308013585,0
1,0.5,2.5,0.0205212496559747,0
0,0.5625,2.5,0.02020060513010009,0
0.0625,0.5625,2.5,0.04541803361076741,0
0.125,0.5625,2.5,0.06087617616731129,0
0.1875,0.5625,2.5,0.06981680207468263,0
0.25,0.5625,2.5,0.07459430398691727,0
0.3125,0.5625,2.5,0.07687416504184784,0
0.375,0.5625,2.5,0.07779211382211081,0
0.4375,0.5625,2.5,0.07807525473695551,0
0.5,0.5625,2.5,0.07812667324986033,0
0.5625,0.5625,2.5,0.07807525473695545,0
0.625,0.5625,2.5,0.0777921138221109,0
0.6875,0.5625,2.5,0.07687416504184794,0
0.75,0.5625,2.5,0.07459430398691737,0
0.8125,0.5625,2.5,0.06981680207468269,0
0.875,0.5625,2.5,0.06087617616731134,0
0.9375,0.5625,2.5,0.04541803361076745,0
1,0.5625,2.5,0.02020060513010009,0
0,0.625,2.5,0.01923867155247628,0
0.0625,0.625,2.5,0.0445601595945774,0
0.125,0.625,2.5,0.06011337531033693,0
0.1875,0.625,2.5,0.06915707633720858,0
0.25,0.625,2.5,0.07404630741176708,0
0.3125,0.625,2.5,0.07643598822653647,0
0.375,0.625,2.5,0.07744686583793121,0
0.4375,0.625,2.5,0.07779211382211076,0
0.5,0.625,2.5,0.07786534251477589,0
0.5625,0.625,2.5,0.07779211382211072,0
0.625,0.625,2.5,0.07744686583793126,0
0.6875,0.625,2.5,0.07643598822653644,0
0.75,0.625,2.5,0.07404630741176714,0
0.8125,0.625,2.5,0.06915707633720872,0
0.875,0.625,2.5,0.06011337531033703,0
0.9375,0.625,2.5,0.04456015959457743,0
1,0.625,2.5,0.01923867155247628,0
0,0.6875,2.5,0.01763544892310326,0
0.0625,0.6875,2.5,0.04299924538841582,0
0.125,0.6875,2.5,0.05859996705300871,0
0.1875,0.6875,2.5,0.06773310328864957,0
0.25,0.6875,2.5,0.07275296210962084,0
0.3125,0.6875,2.5,0.07529072927294568,0
0.375,0.6875,2.5,0.07643598822653648,0
0.4375,0.6875,2.5,0.07687416504184785,0
0.5,0.6875,2.5,0.07698049144122121,0
0.5625,0.6875,2.5,0.07687416504184784,0
0.625,0.6875,2.5,0.07643598822653642,0
0.6875,0.6875,2.5,0.07529072927294568,0
0.75,0.6875,2.5,0.07275296210962093,0
0.8125,0.6875,2.5,0.06773310328864962,0
0.875,0.6875,2.5,0.05859996705300882,0
0.9375,0.6875,2.5,0.04299924538841591,0
1,0.6875,2.5,0.01763544892310326,0
0,0.75,2.5,0.01539093724198103,0
0.0625,0.75,2.5,0.04050179822332721,0
0.125,0.75,2.5,0.05591403373069647,0
0.1875,0.75,2.5,0.06499182232321765,0
0.25,0.75,2.5,0.07007820193417896,0
0.3125,0.75,2.5,0.07275296210962101,0
0.375,0.75,2.5,0.07404630741176715,0
0.4375,0.75,2.5,0.07459430398691733,0
0.5,0.75,2.5,0.0747407912667216,0
0.5625,0.75,2.5,0.0745943039869173,0
0.625,0.75,2.5,0.0740463074117671,0
0.6875,0.75,2.5,0.0727529621096209,0
0.75,0.75,2.5,0.07007820193417889,0
0.8125,0.75,2.5,0.06499182232321768,0
0.875,0.75,2.5,0.05591403373069652,0
0.9375,0.75,2.5,0.04050179822332724,0
1,0.75,2.5,0.01539093724198103,0
0,0.8125,2.5,0.01250513650910958,0
0.0625,0.8125,2.5,0.03664871906992745,0
0.125,0.8125,2.5,0.05132726902159869,0
0.1875,0.8125,2.5,0.06001244643949651,0
0.25,0.8125,2.5,0.06499182232321764,0
0.3125,0.8125,2.5,0.06773310328864965,0
0.375,0.8125,2.5,0.06915707633720877,0
0.4375,0.8125,2.5,0.06981680207468272,0
0.5,0.8125,2.5,0.07000606071942786,0
0.5625,0.8125,2.5,0.06981680207468272,0
0.625,0.8125,2.5,0.06915707633720877,0
0.6875,0.8125,2.5,0.06773310328864957,0
0.75,0.8125,2.5,0.06499182232321758,0
0.8125,0.8125,2.5,0.06001244643949648,0
0.875,0.8125,2.5,0.05132726902159872,0
0.9375,0.8125,2.5,0.03664871906992746,0
1,0.8125,2.5,0.01250513650910958,0
0,0.875,2.5,0.008978046724488931,0
0.0625,0.875,2.5,0.03068043865201924,0
0.125,0.875,2.5,0.04361093826375759,0
0.1875,0.875,2.5,0.05132726902159871,0
0.25,0.875,2.5,0.05591403373069651,0
0.3125,0.875,2.5,0.05859996705300886,0
0.375,0.875,2.5,0.06011337531033704,0
0.4375,0.875,2.5,0.06087617616731138,0
0.5,0.875,2.5,0.06110777649725143,0
0.5625,0.875,2.5,0.06087617616731139,0
0.625,0.875,2.5,0.0601133753103371,0
0.6875,0.875,2.5,0.05859996705300884,0
0.75,0.875,2.5,0.0559140337306965,0
0.8125,0.875,2.5,0.05132726902159872,0
0.875,0.875,2.5,0.04361093826375759,0
0.9375,0.875,2.5,0.03068043865201925,0
1,0.875,2.5,0.008978046724488931,0
0,0.9375,2.5,0.004809667888119071,0
0.0625,0.9375,2.5,0.02112777301070514,0
0.125,0.9375,2.5,0.03068043865201924,0
0.1875,0.9375,2.5,0.03664871906992745,0
0.25,0.9375,2.5,0.04050179822332722,0
0.3125,0.9375,2.5,0.04299924538841585,0
0.375,0.9375,2.5,0.0445601595945774,0
0.4375,0.9375,2.5,0.04541803361076747,0
0.5,0.9375,2.5,0.04569181308013585,0
0.5625,0.9375,2.5,0.04541803361076742,0
0.625,0.9375,2.5,0.0445601595945774,0
0.6875,0.9375,2.5,0.04299924538841584,0
0.75,0.9375,2.5,0.04050179822332721,0
0.8125,0.9375,2.5,0.03664871906992744,0
0.875,0.9375,2.5,0.03068043865201926,0
0.9375,0.9375,2.5,0.02112777301070515,0
1,0.9375,2.5,0.004809667888119071,0
0,1,2.5,0,0
0.0625,1,2.5,0.004809667888119071,0
0.125,1,2.5,0.008978046724488931,0
0.1875,1,2.5,0.01250513650910958,0
0.25,1,2.5,0.01539093724198103,0
0.3125,1,2.5,0.01763544892310326,0
0.375,1,2.5,0.01923867155247628,0
0.4375,1,2.5,0.02020060513010009,0
0.5,1,2.5,0.0205212496559747,0
0.5625,1,2.5,0.02020060513010009,0
