tau,bc_left,bc_right,bc_bottom,bc_top,initial_condition,calculated_terms_1,calculated_terms_3,calculated_terms_5,calculated_terms_10,calculated_terms_20
0.861538461538461,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-1*tau)","theta(X,1,tau)=(X-X^2)*exp(-1*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.086633397059,0.0944981564347,0.0930426804092,0.0933592065904,0.0934644923898
0.892307692307692,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-1*tau)","theta(X,1,tau)=(X-X^2)*exp(-1*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0840083411287,0.091634792979,0.090223418861,0.0905303540849,0.0906324496534
0.923076923076923,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-1*tau)","theta(X,1,tau)=(X-X^2)*exp(-1*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0814628286428,0.0888581938467,0.0874895853185,0.0877872201977,0.0878862222015
0.953846153846154,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-1*tau)","theta(X,1,tau)=(X-X^2)*exp(-1*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0789944482543,0.0861657288935,0.0848385901288,0.0851272064699,0.0852232086461
0.984615384615385,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-1*tau)","theta(X,1,tau)=(X-X^2)*exp(-1*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0766008621948,0.0835548481829,0.08226792262,0.0825477936909,0.0826408869362
1.01538461538462,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-1*tau)","theta(X,1,tau)=(X-X^2)*exp(-1*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.074279803811,0.081023079323,0.0797751484746,0.0800465392628,0.0801368117199
1.04615384615385,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-1*tau)","theta(X,1,tau)=(X-X^2)*exp(-1*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0720290752833,0.078568024989,0.0773579072888,0.0776210747527,0.0777086118933
1.07692307692308,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-1*tau)","theta(X,1,tau)=(X-X^2)*exp(-1*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0698465454702,0.0761873605797,0.0750139102638,0.0752691035756,0.0753539882817
1.10769230769231,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-1*tau)","theta(X,1,tau)=(X-X^2)*exp(-1*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0677301478505,0.0738788319759,0.0727409379978,0.0729883987798,0.0730707114219
1.13846153846154,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-1*tau)","theta(X,1,tau)=(X-X^2)*exp(-1*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0656778785445,0.0716402533845,0.0705368383632,0.0707768009162,0.0708566194296
1.16923076923077,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-1*tau)","theta(X,1,tau)=(X-X^2)*exp(-1*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.063687794405,0.069469505257,0.0683995244567,0.0686322159821,0.0687096159406
1.2,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-1*tau)","theta(X,1,tau)=(X-X^2)*exp(-1*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0617580111706,0.0673645322755,0.0663269726167,0.0665526134317,0.0666276681191
